variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
SR,20,0.0,0.044460128069878424,0.09499454940243653,-0.0386082749066039,0.5573770491803278,0.4680282010868516,0.001416549401589135,62,11,5.545454545454546,0.014255457158405482
SR,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SR,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SR,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SR,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SR,10,0.05,-0.004127240397715726,0.024713589328699662,-0.01284884611374637,0.25,-0.16700287209688314,-0.0005975640113681235,4,2,2.0,-0.0013448648531406704
SR,20,0.05,-0.027343981578609622,0.03299208442566443,-0.017854937169503704,0.25,-0.828804304263323,-0.004498787138700666,4,2,2.0,-0.008980985233814853
SR,60,0.05,-0.031826093905987785,0.0467831759039662,-0.01995164685318873,0.375,-0.6802892982579583,-0.01046930074050445,8,1,8.0,-0.01046930074050445
SR,20,0.03,-0.038513198760952605,0.0481554216760778,-0.02038298108927339,0.36363636363636365,-0.7997686952056082,-0.012698463914147418,12,1,11.0,-0.012698463914147418
SR,60,0.03,-0.038513198760952605,0.0481554216760778,-0.02038298108927339,0.36363636363636365,-0.7997686952056082,-0.012698463914147418,12,1,11.0,-0.012698463914147418
SR,10,0.03,-0.043859107040326806,0.04728868772227601,-0.01995164685318873,0.3333333333333333,-0.9274756639031526,-0.014488070425516142,9,1,9.0,-0.014488070425516142
SR,60,0.0,-0.10721108504096899,0.054457203565161524,-0.04330940854708554,0.3333333333333333,-1.9687218223147296,-0.03622909271002772,22,1,21.0,-0.03622909271002772
SR,60,0.01,-0.113434423668763,0.054248850380281696,-0.04548452925520108,0.3,-2.0910014290366234,-0.0192914593853995,21,2,10.0,-0.03842031114266875
SR,10,0.01,-0.13032543765917537,0.07627129684680245,-0.053474860992606676,0.43243243243243246,-1.7087088203173648,-0.003699483847797493,37,12,3.0833333333333335,-0.04442036727672871
SR,20,0.01,-0.19603759753745909,0.07383675435294099,-0.07970158572823283,0.42857142857142855,-2.655013742890105,-0.007784421835483458,36,9,3.888888888888889,-0.06854042716615283
SR,10,0.0,-0.25681245174655454,0.09555090841957549,-0.11961385119274492,0.4225352112676056,-2.687702880006753,-0.005552017081880963,72,17,4.176470588235294,-0.0920627451873679
