variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
IH,20,0.05,0.011251488653334363,0.0326014811115239,-0.009675858732462461,0.5,0.345122008869628,0.0013940591063911767,2,2,1.0,0.002667518532615487
IH,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IH,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IH,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IH,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IH,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IH,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IH,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IH,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IH,10,0.05,-0.024041939393518175,0.04525258009213454,-0.01801686685407622,0.5,-0.5312832847225205,-0.002776444954415702,2,2,1.0,-0.005777451721926119
IH,10,0.03,-0.059604755639041995,0.04864168897950848,-0.026657338312579992,0.3333333333333333,-1.2253841692082688,-0.004783963937697681,4,3,1.0,-0.014525617817484737
IH,10,0.0,-0.06651466492499669,0.14888950320516833,-0.073733895947654,0.6326530612244898,-0.4467384435646891,-0.0011397806724652378,50,13,3.769230769230769,-0.016254546995803754
IH,20,0.03,-0.1740294856601493,0.07508952116512153,-0.0562649754032164,0.16666666666666666,-2.3176267867983764,-0.011259947114357016,7,4,1.5,-0.044502283814222054
IH,10,0.01,-0.18032921511013034,0.12563517402325744,-0.08893563349312172,0.6086956521739131,-1.435340194432715,-0.006665358488681629,24,7,3.2857142857142856,-0.04624250085460646
IH,20,0.01,-0.2832551153241897,0.11405663819899899,-0.10205184929988265,0.56,-2.4834601457390284,-0.009645525354668796,26,8,3.125,-0.07623181576995697
IH,20,0.0,-0.41687103826158334,0.1362146484361536,-0.14709009632216918,0.5384615384615384,-3.0603980045287034,-0.012575872796855948,40,10,3.9,-0.12051250373049749
