variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
V,60,0.01,0.07348048362801007,0.2175450111251292,-0.06779531441720743,0.5,0.337771403021258,0.011279129080382366,17,2,8.0,0.022189754339311474
V,20,0.0,0.06683673830258452,0.30416865330775134,-0.08584852858688552,0.5263157894736842,0.21973578662940174,0.0025303002539929435,58,11,5.181818181818182,0.02022741276204254
V,60,0.0,0.058967854644545126,0.2176998767401829,-0.06779531441720743,0.47058823529411764,0.270867652878468,0.009200120039468518,18,2,8.5,0.01789225987662335
V,20,0.01,0.05817845041899683,0.2903001316217717,-0.09923130512449718,0.5121951219512195,0.20040793675835042,0.002596728934847714,42,10,4.1,0.01765733752224774
V,60,0.03,0.04279754696869076,0.16466908777256953,-0.07120295278334854,0.4,0.25990031005576475,0.0034120830343815356,10,4,2.5,0.013055721313179669
V,10,0.01,0.005902234835335918,0.2599863106661737,-0.08483076218101182,0.6181818181818182,0.022702098507465168,0.00044775826588324313,56,12,4.583333333333333,0.001823171948230451
V,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
V,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
V,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
V,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
V,10,0.05,-0.04547326856444167,0.2048509640254561,-0.06779531441720754,0.5882352941176471,-0.22198220438343103,-0.0023933382760895996,17,6,2.8333333333333335,-0.014301866342055769
V,60,0.05,-0.12240837267122118,0.059513302142784164,-0.03960991085689758,0.2,-2.0568237396328524,-0.013365892004145619,5,3,1.6666666666666667,-0.03960991085689758
V,10,0.03,-0.15077009306229827,0.2488817076886198,-0.10735003651116048,0.5945945945945946,-0.6057901742257785,-0.004662168876794525,38,10,3.7,-0.04932596108966436
V,20,0.05,-0.19085815647726279,0.15492460970306632,-0.08955551692398989,0.6875,-1.231942148139459,-0.007805608997162081,17,8,2.0,-0.06344897701393037
V,20,0.03,-0.23897969034748678,0.23156307852525057,-0.09049112154570971,0.5483870967741935,-1.032028473059998,-0.00898628128902532,32,9,3.4444444444444446,-0.08105543274598126
V,10,0.0,-0.2540531308647679,0.3057487811039161,-0.16769175078809062,0.5970149253731343,-0.8309211567336446,-0.007045159146740032,68,12,5.583333333333333,-0.0867281680887183
